date,spot,return,excess_return,moving_average_10d,moving_average_30d,historical_volatility_10d,historical_volatility_30d,liquidation_level
2019-11-20,175.96,-0.007331211639008982,-0.01002612234734949,183.43099999999998,181.73433333333332,4.374289656618575,7.167152891819227,175.96
2019-11-21,174.44,-0.07733318046319657,-0.08002809117153707,181.963,181.75233333333335,4.7038141733892935,7.14744983860694,174.44
2019-11-22,161.11,-0.06895909626962952,-0.07165400697797003,179.62600000000003,181.42066666666668,7.979344445365043,7.856416193296974,161.11
2019-11-23,149.85,0.012345679012345642,0.009650768304005134,175.905,181.005,11.85990842198109,9.128702649827392,154.14
2019-11-24,152.5,-0.08111475409836069,-0.0838096648067012,172.301,180.74533333333335,13.01358047067243,9.822676344800984,154.14
2019-11-25,139.79,0.042849989269618784,0.04015507856127828,167.788,179.3576666666667,15.69937634996301,12.341658828685816,154.14
2019-11-26,146.84,0.0036093707436665834,0.000914460035326076,164.473,178.26666666666668,16.32404977666728,13.694732018461401,154.14
2019-11-27,147.52,0.03463937093275478,0.03194446022441427,160.97700000000003,177.06133333333335,15.773407332877976,14.752315243970083,154.14
2019-11-28,153.25,-0.016508972267536712,-0.019203882975877218,157.93400000000003,176.1146666666667,13.706791666096679,15.346943699627666,154.14
2019-11-29,150.57,0.0246397024639703,0.021944791755629793,155.18300000000002,174.78233333333336,11.848921235473034,15.780299958543582,154.14
2019-11-30,154.14,-0.016802906448682854,-0.01949781715702336,153.001,173.81133333333335,9.341456524546862,16.13231747537961,154.14
2019-12-01,150.76,0.0009286282833643857,-0.0017662824249761217,150.63299999999998,172.77300000000002,5.524515162236126,16.589080153668238,151.12
2019-12-02,151.12,-0.0160137638962415,-0.018708674604582008,149.634,171.70533333333333,4.152268991500523,16.925498766823655,151.12
2019-12-03,148.92,-0.012489927477840354,-0.015184838186180862,149.541,170.56933333333333,4.157305350557832,17.281233379780478,150.47
2019-12-04,147.17,-0.011755113134470271,-0.014450023842810779,149.00799999999998,169.419,4.076678386464359,17.660567482193372,150.47
2019-12-05,145.58,0.013600769336447242,0.010905858628106734,149.587,168.08133333333336,2.848020950297297,17.902219421900952,150.47
2019-12-06,148.23,0.0017540308979290247,-0.0009408798104114826,149.72599999999997,166.73633333333333,2.7305522436962364,17.824628154622964,150.47
2019-12-07,148.34,-0.007617635162464578,-0.010312545870805085,149.808,165.31733333333335,2.668552666396587,17.52579949149525,150.47
2019-12-08,147.0,0.023061224489795827,0.02036631378145532,149.183,163.99200000000002,2.4993734770491516,17.350839470896823,150.47
2019-12-09,150.47,-0.0202698212268227,-0.022964731935163206,149.173,162.88700000000003,2.4934004001673196,17.111654256071038,150.47
2019-12-10,147.28,-0.011271048343291666,-0.013965959051632174,148.48700000000002,161.63966666666664,1.8305982628635273,16.82828990908975,147.28
2019-12-11,145.51,-0.014500721599889941,-0.017195632308230447,147.96200000000002,160.186,1.858899315903262,16.246115631234833,145.51
2019-12-12,143.52,0.009476031215161546,0.006781120506821038,147.202,158.82066666666665,1.9743342056385627,15.850361669611079,145.16
2019-12-13,145.16,-0.003100027555800418,-0.005794938264140926,146.82599999999996,157.42399999999998,1.9688248045750545,15.104713263038988,145.16
2019-12-14,144.83,-0.020921079886763796,-0.023615990595104303,146.592,155.96699999999998,2.0603279134909545,14.072639668569112,144.83
2019-12-15,141.88,0.0038765153650973457,0.0011816046567568383,146.222,154.5323333333333,2.538905275901184,13.185095734966657,142.3
2019-12-16,142.3,-0.06830639494026702,-0.07100130564860753,145.62900000000002,153.27599999999998,2.7048904270267706,12.450926734654349,142.3
2019-12-17,132.7,-0.08078372268274292,-0.08347863339108343,144.065,151.61666666666667,4.72812448134669,11.720359925429587,133.06
2019-12-18,122.09,0.08682119747727082,0.08412628676893032,141.574,149.56366666666665,8.255853411704578,11.29687276939167,133.06
2019-12-19,133.06,-0.03682549225913126,-0.039520402967471766,139.833,148.06300000000002,8.003267457732399,10.326715320485599,133.06
2019-12-20,128.35,-0.0007012076353720562,-0.0033961183437125637,137.94,146.476,8.280080514906341,9.51839076517812,132.66
2019-12-21,128.36,-0.010283577438454403,-0.012978488146794911,136.225,144.94,8.31395647223513,8.515337885859402,133.79
2019-12-22,127.07,0.03989926811993384,0.037204357411593336,134.57999999999998,143.80533333333332,8.337556263344943,8.554213212105994,133.79
2019-12-23,132.66,-0.033544399216040924,-0.03623930992438143,133.32999999999998,143.23233333333332,7.466656249992596,8.709671470637955,133.79
2019-12-24,127.91,-0.00031271988116638296,-0.00300763058950689,131.63799999999998,142.41266666666664,6.414015556229446,8.960875855180793,133.79
2019-12-25,127.87,-0.021819034957378636,-0.024513945665719142,130.23700000000002,142.0153333333333,5.3740902072400365,9.337532987832425,133.79
2019-12-26,125.08,0.00423728813559323,0.0015423774272527225,128.515,141.29000000000002,3.5174714718890154,9.784296003079136,134.79
2019-12-27,125.47,0.0062963258149358915,0.003601415106595384,127.792,140.55499999999998,3.2978774318571973,10.12251459490903,134.84
2019-12-28,126.92,0.012369996848408504,0.009675086140067997,128.275,139.67733333333334,2.662468570497387,10.125309678817855,135.24
2019-12-29,127.95,0.055646737006643146,0.05295182629830264,127.76400000000001,138.92333333333332,2.0655061257602316,10.128416267707536,144.55
2019-12-30,133.79,-0.017041632408999186,-0.019736543117339692,128.30800000000002,138.24499999999998,2.8167506890816467,9.748491925810624,144.55
2019-12-31,131.52,-0.0172597323600974,-0.019954643068437906,128.624,137.60366666666667,2.994855589172456,9.527131667826406,144.55
2020-01-01,128.93,0.012332273326611366,0.009637362618270858,128.81,136.864,2.944961799412261,9.300257541855304,144.55
2020-01-02,130.42,-0.024536114092930446,-0.027231024801270952,128.58599999999998,136.24733333333333,2.694089002901176,9.084125195896497,144.55
2020-01-03,127.08,0.05406043437204903,0.05136552366370852,128.50300000000001,135.57766666666666,2.7297783792823735,8.991184066603756,144.55
2020-01-04,134.79,-0.0057125899547442825,-0.00840750066308479,129.195,135.218,3.3566228067306176,8.790851984915836,146.32
2020-01-05,134.84,0.002892316819934636,0.0001974061115941287,130.171,134.77166666666668,3.4449526685988467,8.440353842613167,146.32
2020-01-06,135.24,0.0646258503401359,0.0619309396317954,131.148,134.335,3.3476253606927022,8.043731656732861,165.44
2020-01-07,144.55,-0.011483915600138533,-0.014178826308479041,132.911,134.25333333333333,5.071875502327362,7.92223163149107,165.59
2020-01-08,142.94,-0.014341681824541845,-0.017036592532882353,134.41,134.00233333333333,5.6274584750921175,7.498686635963459,165.59
2020-01-09,140.51,-0.017294142765639304,-0.01998905347397981,135.082,133.77666666666667,5.937866807382882,7.180443427539911,170.01
2020-01-10,137.71,0.04799941906905805,0.045304508360717546,135.701,133.51666666666668,5.847233818937848,6.875684960654474,174.29
2020-01-11,144.24,-0.010399334442595673,-0.013094245150936181,137.232,133.54066666666668,5.881607490020375,6.912961805156269,174.29
2020-01-12,142.01,0.028589535948172682,0.025894625239832176,138.39100000000002,133.43566666666666,5.520999205055118,6.752450734329679,174.29
2020-01-13,146.32,-0.016539092400218613,-0.01923400310855912,140.315,133.48533333333333,4.37474380202204,6.844009075819102,174.29
2020-01-14,143.5,0.15944250871080137,0.15674759800246085,141.18599999999998,133.53933333333333,4.00385425420129,6.918513361007981,174.29
2020-01-15,165.44,0.002840909090909084,0.0001459983825685767,144.246,134.31066666666666,8.155614562305267,8.927222193491271,174.29
2020-01-16,165.59,-0.007005253940455321,-0.009700164648795829,147.281,135.407,9.893726912656275,10.587741170970192,174.29
2020-01-17,164.63,0.03389418696470882,0.031199276256368313,149.28900000000002,136.825,11.225869379844493,11.54784223761463,174.29
2020-01-18,170.01,0.024586789012411077,0.02189187830407057,151.996,138.05666666666667,12.692748761048884,13.01032225033185,174.29
2020-01-19,174.29,-0.042802226174766075,-0.04549713688310658,155.374,139.588,13.747477505992677,14.452146577227335,174.29
2020-01-20,167.14,-0.0017350723943998568,-0.004429983102740364,158.317,140.88066666666666,12.652393756826202,15.131591509461387,175.99
2020-01-21,166.9,0.013720790892750101,0.011025880184409594,160.583,142.20833333333334,11.855172382644591,15.617603923100978,175.99
2020-01-22,169.78,-0.009188361408882096,-0.011883272117222603,163.35999999999999,143.44566666666665,10.151175082499176,16.29096781344985,184.67
2020-01-23,168.23,-0.031682815193485016,-0.03437772590182552,165.551,144.78966666666665,8.25138163514967,16.624856231337827,184.67
2020-01-24,163.13,-0.004842763440201018,-0.007537674148541526,167.514,145.965,3.2291835913529034,16.63382506241138,184.67
2020-01-25,161.78,-0.007108418840400579,-0.009803329548741087,167.148,147.18833333333333,3.6679749181252874,16.39267563175165,188.07
2020-01-26,160.26,0.04736053912392365,0.04466562841558314,166.615,148.34799999999998,4.259142454114531,16.02983455504383,190.55
2020-01-27,168.34,0.011524296067482462,0.008829385359141954,166.986,149.72866666666667,4.228496449356256,15.903855471255481,190.55
2020-01-28,170.54,0.031488213908760436,0.02879330320041993,167.039,151.14833333333334,4.273690702685263,15.793258728469436,203.9
2020-01-29,175.99,-0.012102960395476989,-0.014797871103817497,167.209,152.55499999999998,4.614401249228891,16.070769084444137,213.39
2020-01-30,173.86,0.06068100770735064,0.05798609699901013,167.881,153.96633333333335,5.070059061676213,16.018841165916427,223.53
2020-01-31,184.67,-0.02783343260951961,-0.030528343317860116,169.658,155.82433333333336,7.30814127455708,16.245770947485656,223.69
2020-02-01,179.43,0.02407624143119876,0.021381330722858253,170.623,157.458,7.936170431077375,16.066251284753253,229.09
2020-02-02,183.19,0.029805120366832295,0.02711020965849179,172.119,159.32833333333335,8.798156940834314,15.668964511115037,229.09
2020-02-03,188.07,0.011059711809432726,0.008364801101092218,174.613,161.10433333333333,9.475699974144126,15.81063079361357,237.03
2020-02-04,190.55,-0.007819469955392332,-0.01051438066373284,177.48999999999998,162.96133333333333,9.513912619597043,15.890882168462564,265.55
2020-02-05,188.89,0.07919953412038758,0.07650462341204707,180.353,164.74966666666666,7.9285013996617595,15.68104862858225,268.96
2020-02-06,203.9,0.04600294261893083,0.04330803191059032,183.90900000000002,166.728,9.715096442592962,16.75201612158781,285.7
2020-02-07,213.39,0.04747176531233902,0.044776854603998516,188.19400000000002,169.0763333333333,12.27569794349766,18.179473548641433,285.7
2020-02-08,223.53,-0.00040263051939338525,-0.0030975412277338926,192.948,171.84366666666668,15.740693758535297,19.916833026766525,285.7
2020-02-09,223.69,0.01998301220439,0.017288101496049493,197.93099999999998,174.70966666666666,16.873190075777753,20.99280935731683,285.7
2020-02-10,229.09,-0.025273909817102414,-0.02796882052544292,202.373,177.53799999999998,18.73812634413804,22.413880613091877,285.7
2020-02-11,223.03,0.06348921669730528,0.06079430598896478,206.733,180.23866666666666,17.858365017859327,22.86207109412111,285.7
2020-02-12,237.03,0.12023794456397913,0.11754303385563862,212.11700000000002,183.26233333333332,18.086371818458932,24.181823707406682,285.7
2020-02-13,265.55,0.012841272829975402,0.010146362121634894,219.865,187.33066666666664,22.658243165199778,27.324193010556858,285.7
